A0A7X9B9L0	3.30.70.1510,3.40.50.200,2.60.40.1080,2.60.40.1220	28	4	A0A7X9B9L0,A0A0F8SZA1,A0A0S7BVM7,A0A124INY7,A0A1F8PIK8,A0A1G1GPX8,A0A1I6IJE5,A0A1Q6IIP3,A0A1T4XYW1,A0A1V6CME3,A0A2E2Y1R1,A0A2J6IHL2,A0A2N3AFU6,A0A343TG46,A0A345EBX2,A0A368CXZ5,A0A395JY89,A0A3M1VLA2,A0A3N5ZS56,A0A3N9TJE2
A0A7V3RQS4	2.60.40.290,2.60.40.10,2.60.40.10,2.60.40.10	76	4	A0A7V3RQS4,A0A0E3V5P5,A0A0F7PD35,A0A0F9KWR0,A0A0H5E4F8,A0A142Y2U8,A0A161IFS3,A0A1B8W932,A0A1F3BVD7,A0A1F4Z9W0,A0A1F7BDW2,A0A1F7BY08,A0A1G2XD02,A0A1G2YL90,A0A1H2QPA9,A0A1I1B4R1,A0A1I6RTS8,A0A1K1P4V6,A0A1Q2MAX2,A0A1Q5X555
A0A7V2NG30	2.60.40.10,2.60.40.10,2.60.40.10,2.60.40.10	37	4	A0A7V2NG30,A0A061N473,A0A069J896,A0A0F9CE47,A0A0Q8A3W1,A0A0Q8Q257,A0A0Q9TBB0,A0A1G9KVM4,A0A1K1QBS9,A0A1T5DQA7,A0A1V5PP84,A0A1X7SJ26,A0A251Z661,A0A2E8YYP2,A0A2T6A4B6,A0A345VCM9,A0A371NZ00,A0A399ETS9,A0A399NRV2,A0A3M2M300
A0A7T8YPS0	2.60.40.740,2.60.40.-,2.60.40.740,1.20.120.50	69	4	A0A7T8YPS0,A0A060R5X7,A0A085L3P0,A0A098S831,A0A0A2E202,A0A0A2E4B8,A0A0A2F5Z6,A0A0F9YDC6,A0A0G0H4L8,A0A0K1P8Z0,A0A0N8K9V7,A0A0Q0WD54,A0A0S8BR00,A0A0W8FX10,A0A136N498,A0A142BE77,A0A180EK12,A0A1C4AMC5,A0A1E4ZIE5,A0A1F3GJB9
A0A7K0JS47	2.60.40.1120,2.60.40.1120,2.60.40.1120,2.60.40.1120	31	4	A0A7K0JS47,A0A0Q6V7L8,A0A0Q7QIN8,A0A0Q8UZZ8,A0A0S9R5E7,A0A0U4C8A3,A0A117I0Q4,A0A1H0FK81,A0A1H4EIC8,A0A1Q7B1L6,A0A1V1W576,A0A2A9EDA3,A0A2E8Z0B2,A0A2H5X8S5,A0A2H5Y2P7,A0A329R0E7,A0A371P4Z4,A0A399ECD6,A0A3D4PDY4,A0A3D6DC54
A0A7C7KA74	2.60.40.-,2.60.40.1930,3.20.20.140,2.60.40.-	32	4	A0A7C7KA74,A0A081K588,A0A0S7XIJ3,A0A0S8GQT2,A0A0S8K1Z5,A0A1F5S2A0,A0A1F6CA50,A0A1F6D380,A0A1F7RNN4,A0A1F9X4E0,A0A1F9X4V7,A0A1G1BQ56,A0A1G1BQ83,A0A1V6CEB8,A0A2D5ZNF0,A0A2E5GF94,A0A2H0APE0,A0A3D2U670,A0A3D4ZTJ9,A0A3P2AIG2
A0A7C7CLP8	2.60.40.10,2.60.40.10,2.60.40.10,2.60.40.-	42	4	A0A7C7CLP8,A0A074L2X2,A0A0M5MSQ9,A0A0R2VC91,A0A1F3P6U4,A0A1I0RUR2,A0A1I1T6J3,A0A1M3E9E9,A0A1W1ZLN3,A0A2D5PU91,A0A2E4WNN7,A0A2N5YUA3,A0A2N5YZ32,A0A2P8CPS6,A0A2V2G2C0,A0A2W1JUA7,A0A2W1NCJ5,A0A3A1NT21,A0A3D4RL89,A0A3G9J9N8
A0A7C6SBR4	3.20.20.70,2.40.30.10,-.-.-.-,3.20.20.-	29	4	A0A7C6SBR4,A0A095XDT4,A0A095YYU4,A0A0E3SI59,A0A117MBS9,A0A126QY91,A0A133PRR8,A0A134AIS6,A0A1D8GD27,A0A1F9LAX8,A0A1Q6PZN8,A0A1V4ZWT9,A0A2A2XW44,A0A328SSW7,A0A373I9U6,A0A373LU74,A0A3D2KBG7,A0A3D5WT17,A0A3D5ZLJ1,A0A3N5PPX7
A0A7C1WGV1	2.60.40.10,2.60.40.10,2.60.40.10,2.60.40.10	24	4	A0A7C1WGV1,A0A094KYV2,A0A0E9LUZ7,A0A0E9LYV8,A0A0G1LLM1,A0A1F5WFR4,A0A1G2VPQ2,A0A1H8BAR0,A0A1H9XGJ6,A0A1V5LUJ5,A0A2H9LAL4,A0A2N1Q3F6,A0A2N1QJK3,A0A2V8I591,A0A2V9ZPT5,A0A316MT52,A0A350BCB4,A0A3A9IYB6,A0A661A3X0,A0A7C0VUQ0
A0A6N8HBF9	3.30.450.20,1.10.287.130,3.30.565.10,3.40.50.2300	25	4	A0A6N8HBF9,A0A011MS22,A0A099T8Y1,A0A0D6P985,A0A0F0FRC9,A0A0P1EJQ9,A0A0Q4E491,A0A0W0YI30,A0A158EP63,A0A1E4GYD4,A0A1E4H0W0,A0A1X0XXB2,A0A2C7AHQ5,A0A2V6F260,A0A350ETT8,A0A3A6NZJ2,A0A3D2X056,A0A3S0CMP4,A0A4Q7ZDD0,A0A4R1SBF7
